LocationID,Borough,Zone,service_zone,avg_fare,avg_trip_distance,total_trips
68,Manhattan,East Chelsea,Yellow Zone,14.111898734177215,2.2652983725135623,553.0
69,Bronx,East Concourse/Concourse Village,Boro Zone,29.8,9.44,1.0
70,Queens,East Elmhurst,Boro Zone,40.45333333333333,5.346666666666667,3.0
71,Brooklyn,East Flatbush/Farragut,Boro Zone,0.0,0.0,0.0
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,0.0,0.0,0.0
73,Queens,East Flushing,Boro Zone,0.0,0.0,0.0
74,Manhattan,East Harlem North,Boro Zone,13.793827160493827,2.7267901234567904,81.0
75,Manhattan,East Harlem South,Boro Zone,14.414394904458598,2.7491082802547773,157.0
76,Brooklyn,East New York,Boro Zone,0.0,0.0,0.0
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,0.0,0.0,0.0
78,Bronx,East Tremont,Boro Zone,35.8,10.28,1.0
79,Manhattan,East Village,Yellow Zone,14.343814935064936,2.4426948051948054,616.0
80,Brooklyn,East Williamsburg,Boro Zone,13.836153846153847,2.793846153846154,13.0
81,Bronx,Eastchester,Boro Zone,0.0,0.0,0.0
82,Queens,Elmhurst,Boro Zone,14.8,1.95,5.0
83,Queens,Elmhurst/Maspeth,Boro Zone,6.8,0.8,2.0
84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone,0.0,0.0,0.0
85,Brooklyn,Erasmus,Boro Zone,12.8,3.0,1.0
86,Queens,Far Rockaway,Boro Zone,0.0,0.0,0.0
87,Manhattan,Financial District North,Yellow Zone,18.856702127659574,3.789148936170213,188.0
88,Manhattan,Financial District South,Yellow Zone,19.974044943820225,4.211460674157303,89.0
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,0.0,0.0,0.0
90,Manhattan,Flatiron,Yellow Zone,13.419372294372295,1.9727272727272727,462.0
91,Brooklyn,Flatlands,Boro Zone,38.25,5.125,2.0
